iter	RMSE
0	30.97775864
1	30.58874103
2	30.29677692
3	30.08474131
4	30.01453819
5	29.95445444
6	29.82012328
7	29.61311786
8	29.57179332
9	29.48123426
10	29.39745169
11	29.32765439
12	29.25120824
13	29.23312462
14	29.1916868
15	29.07544093
16	29.06067344
17	28.99808061
18	28.92554894
19	28.85374843
20	28.68248246
21	28.6735896
22	28.62116061
23	28.55131214
24	28.46434046
25	28.37369601
26	28.34290957
27	28.27573751
28	28.18266011
29	28.13649911
30	28.09468931
31	28.04378894
32	27.99659224
33	27.94763142
34	27.90248032
35	27.81728494
36	27.75325515
37	27.6779422
38	27.65182664
39	27.59889437
40	27.55603222
41	27.50699366
42	27.4549543
43	27.42754371
44	27.40364753
45	27.35889755
46	27.29568073
47	27.25221707
48	27.22722454
49	27.20272604
50	27.18070051
51	27.14673925
52	27.11241026
53	27.10954927
54	27.08591836
55	27.04990199
56	27.01345746
57	26.98780467
58	26.95112906
59	26.89910489
60	26.84510787
61	26.81477446
62	26.80555753
63	26.78050058
64	26.74755495
65	26.71315306
66	26.6225574
67	26.59585538
68	26.55839972
69	26.5573083
70	26.52232383
71	26.50656389
72	26.49181817
73	26.46841379
74	26.44893661
75	26.42569914
76	26.40941721
77	26.34745711
78	26.3227325
79	26.30252522
80	26.28242979
81	26.26986413
82	26.25462494
83	26.23785025
84	26.21440595
85	26.1644208
86	26.15042991
87	26.13128121
88	26.11113303
89	26.09951268
90	26.07097042
91	26.05561794
92	26.03882685
93	26.0138624
94	26.00625145
95	25.99262171
96	25.98235329
97	25.96988937
98	25.95830407
99	25.93351468
