iter	Passed	Remaining
0	6	671
1	12	626
2	18	610
3	25	601
4	29	567
5	35	561
6	42	560
7	48	552
8	54	549
9	60	542
10	67	543
11	73	538
12	79	530
13	85	523
14	91	515
15	96	508
16	102	500
17	107	491
18	114	487
19	120	481
20	126	477
21	132	470
22	138	463
23	144	457
24	150	452
25	157	447
26	163	440
27	169	434
28	175	429
29	181	423
30	187	417
31	193	410
32	200	406
33	206	401
34	213	395
35	219	390
36	225	384
37	232	379
38	238	373
39	245	368
40	251	362
41	257	356
42	264	350
43	270	344
44	277	338
45	283	332
46	288	325
47	294	319
48	300	312
49	306	306
50	313	301
51	320	295
52	327	290
53	333	284
54	340	278
55	346	272
56	353	266
57	360	260
58	366	255
59	374	249
60	380	243
61	386	237
62	392	230
63	399	224
64	405	218
65	412	212
66	419	206
67	426	200
68	432	194
69	436	186
70	442	180
71	448	174
72	454	168
73	460	161
74	467	155
75	474	149
76	480	143
77	486	137
78	493	131
79	498	124
80	504	118
81	510	112
82	516	105
83	522	99
84	528	93
85	534	86
86	540	80
87	547	74
88	553	68
89	559	62
90	566	56
91	572	49
92	579	43
93	585	37
94	591	31
95	597	24
96	602	18
97	608	12
98	614	6
99	621	0
